0.2,0.6,1.0,1.4,1.8
4933,524,428,522,319
2162,580,554,268,663
1834,675,409,387,150
2333,860,614,617,500
2496,357,673,226,341
1851,1423,349,301,427
3655,1276,384,249,564
2231,2333,262,371,95
3928,1052,516,219,184
1437,857,137,429,305
6667,593,517,349,585
1792,983,471,311,195
1923,1246,519,268,214
1616,553,679,405,350
2966,777,320,494,239
3559,629,209,300,330
3148,1082,674,445,391
2632,654,862,273,262
2820,701,391,285,369
2240,499,480,214,248
2724,678,623,494,122
1566,458,523,254,556
2232,1856,572,412,231
3596,914,360,299,349
4973,342,754,221,533
817,823,456,448,595
1728,908,466,354,158
1686,1285,501,482,272
4728,926,696,500,241
5475,960,538,321,176
2500,879,564,406,230
1941,724,383,570,316
3687,366,323,568,238
1467,679,593,1626,435
1536,531,379,246,595
3041,588,454,148,158
393,741,505,120,136
2431,839,850,822,974
2609,600,202,401,730
1104,431,787,374,119
5310,852,1077,268,172
3010,582,807,297,375
2002,582,388,459,372
2203,1010,292,305,258
817,1201,311,458,317
3675,1289,481,215,375
2687,528,432,129,280
1377,606,694,223,270
1902,696,729,521,154
2720,645,441,330,183
924,1070,287,325,177
2242,367,1137,242,634
3273,788,690,384,181
1768,678,548,429,183
1188,1460,599,430,638
3257,413,370,450,645
1246,894,360,836,441
4201,856,559,502,571
1981,966,609,1418,243
2538,822,733,301,241
3291,453,334,575,674
1978,538,1260,119,298
1983,825,267,384,299
3373,2443,485,544,271
1413,819,759,339,367
2921,486,1682,209,329
1019,1595,251,96,231
3435,523,330,606,454
2559,463,521,536,161
3219,966,322,495,206
2113,851,802,431,300
3084,450,453,244,175
2148,919,772,211,365
2954,1119,525,379,254
2775,1171,285,475,62
2403,868,783,301,254
1775,2073,478,536,439
2979,237,550,238,448
2044,1659,364,51,367
9661,1158,461,244,466
2003,1084,319,245,327
2419,1743,611,341,325
3366,965,881,375,269
2653,666,779,353,851
2075,1286,407,1142,302
3454,1077,538,348,458
2096,589,1805,289,379
1452,233,363,2,318
3816,1004,538,420,518
886,679,357,529,165
3039,1377,639,277,353
1422,802,222,268,168
1725,1574,358,389,587
3062,403,299,399,155
3507,935,326,374,277
2260,1369,455,181,362
2705,1448,320,324,514
2251,700,196,578,433
3422,1069,626,568,205
2596,1194,298,227,387
